"","LotArea","Neighborhood","OverallQual","OverallCond","YearBuilt","TotalBsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","Fireplaces","GarageArea","PoolArea","EnclosedPorch","OpenPorchSF","SalePrice"
"1",11622,"NAmes",5,6,1961,882,"Y",896,0,896,1,0,0,730,0,0,0,169277
"2",14267,"NAmes",6,6,1958,1329,"Y",1329,0,1329,1,1,0,312,0,0,36,187758
"3",13830,"Gilbert",5,5,1997,928,"Y",928,701,1629,2,1,1,482,0,0,34,183583
"4",9978,"Gilbert",6,6,1998,926,"Y",926,678,1604,2,1,1,470,0,0,36,179317
"5",5005,"StoneBr",8,5,1992,1280,"Y",1280,0,1280,2,0,0,506,0,0,82,150730
"6",10000,"Gilbert",6,5,1993,763,"Y",763,892,1655,2,1,1,440,0,0,84,177150
"7",7980,"Gilbert",6,7,1992,1168,"Y",1187,NA,1187,2,0,0,420,0,0,21,172070
"8",8402,"Gilbert",6,5,1998,789,"Y",789,676,1465,2,1,1,393,0,0,75,175110
"9",10176,"Gilbert",7,5,1990,1300,"Y",1341,NA,1341,1,1,1,506,0,0,0,162011
"10",8400,"NAmes",4,5,1970,882,"Y",882,NA,882,1,0,0,525,0,0,0,160726
"11",5858,"NAmes",7,5,1999,1405,"Y",1337,NA,1337,2,0,1,511,0,0,68,157933
"12",1680,"BrDale",6,5,1971,483,"Y",483,504,987,1,1,0,264,0,0,0,145291
"13",1680,"BrDale",5,5,1971,525,"Y",525,567,1092,1,1,0,320,0,0,0,159672
"14",2280,"NPkVill",6,6,1975,855,"Y",855,601,1456,2,1,1,440,0,0,0,164167
"15",2280,"NPkVill",7,6,1975,836,"Y",836,0,836,1,0,0,308,0,0,30,150891
"16",12858,"NridgHt",9,5,2009,1590,"Y",1627,707,2334,2,1,1,751,0,0,133,179460
"17",12883,"NridgHt",8,5,2009,1544,"Y",1544,0,1544,2,0,0,868,0,0,35,185034
"18",11520,"NridgHt",9,5,2005,1698,"Y",1698,0,1698,2,0,1,730,0,0,74,182352
"19",14122,"NridgHt",8,5,2005,1822,"Y",1822,0,1822,2,0,1,678,0,0,119,183053
"20",14300,"NridgHt",9,5,2003,2846,"Y",2696,NA,2696,2,1,2,958,0,0,150,187823
"21",13650,"NridgHt",8,5,2002,1671,"Y",1687,563,2250,2,1,1,756,0,0,130,186544
"22",7132,"NridgHt",8,5,2006,1370,"Y",1370,0,1370,2,0,1,484,0,0,49,158230
"23",18494,"Gilbert",6,5,2005,1324,"Y",1324,0,1324,2,0,0,430,0,0,23,190552
"24",3203,"Blmngtn",7,5,2006,1145,"Y",1145,0,1145,2,0,0,437,0,0,116,147183
"25",13300,"Gilbert",7,5,2004,384,"Y",744,630,1374,2,1,1,400,0,0,0,185855
"26",8577,"Gilbert",7,5,2004,847,"Y",847,886,1733,2,1,1,433,0,0,48,174350
"27",17433,"NoRidge",8,5,1998,1629,"Y",1645,830,2475,2,1,1,962,0,0,172,201740
"28",8987,"Somerst",8,5,2005,1595,"Y",1595,0,1595,2,0,1,880,0,0,0,162986
"29",9215,"Somerst",7,5,2009,1218,"Y",1218,0,1218,2,0,0,676,0,0,136,162330
"30",10440,"Somerst",6,5,2005,1468,"Y",1468,NA,1468,2,0,1,528,0,0,102,165845
"31",11920,"SawyerW",7,5,2004,831,"Y",831,828,1659,2,1,0,484,0,0,68,180929
"32",9800,"SawyerW",5,5,1920,816,"N",1012,0,1012,1,0,0,429,0,80,0,163481
"33",15410,"Sawyer",6,6,1974,1208,"Y",1494,NA,1494,2,0,2,461,0,186,0,187798
"34",13143,"NoRidge",8,5,1993,1231,"Y",1251,1098,2349,2,1,1,762,0,0,130,198822
"35",11134,"NoRidge",8,5,1992,1390,"Y",1402,823,2225,2,1,1,713,0,0,30,194868
"36",4835,"Somerst",7,5,2004,1488,"Y",1488,NA,1488,2,0,1,506,0,0,50,152605
"37",3515,"Somerst",7,5,2004,840,"Y",840,840,1680,2,1,0,588,0,0,111,147797
"38",3215,"Somerst",7,5,2004,600,"Y",600,600,1200,2,1,0,480,0,0,172,150521
